timestamp,open,high,low,close,volume
2018-02-07 16:00:00,1064.7550,1064.9100,1055.0100,1055.4100,256816
2018-02-07 15:45:00,1063.1500,1067.2200,1061.1900,1064.4500,52437
2018-02-07 15:30:00,1063.7900,1064.5600,1059.8055,1063.3350,42837
2018-02-07 15:15:00,1057.0900,1064.0000,1055.9500,1064.0000,40370
2018-02-07 15:00:00,1061.3222,1061.6800,1054.6200,1056.9912,59709
2018-02-07 14:45:00,1065.7600,1066.0300,1060.6800,1061.5000,28385
2018-02-07 14:30:00,1064.8500,1066.6200,1063.9850,1065.4300,11323
2018-02-07 14:15:00,1066.0100,1066.0100,1060.8600,1064.8500,14648
2018-02-07 14:00:00,1067.5800,1068.8100,1063.8600,1066.0500,33461
2018-02-07 13:45:00,1062.5165,1069.3000,1061.9731,1068.8100,37676
2018-02-07 13:30:00,1059.9400,1063.6800,1056.6000,1062.5500,56757
2018-02-07 13:15:00,1064.5300,1065.9800,1057.9300,1060.7900,90651
2018-02-07 13:00:00,1067.9100,1068.8600,1063.7700,1064.0000,44991
2018-02-07 12:45:00,1070.3800,1070.5800,1065.0000,1068.2400,63683
2018-02-07 12:30:00,1071.6400,1071.6400,1069.4100,1070.0200,56772
2018-02-07 12:15:00,1073.3028,1074.8040,1071.0300,1071.5050,30834
2018-02-07 12:00:00,1073.9200,1074.2700,1071.5300,1073.9400,48399
2018-02-07 11:45:00,1075.8200,1075.8200,1071.5550,1074.0600,41754
2018-02-07 11:30:00,1077.5550,1078.0000,1075.2300,1075.7600,33895
2018-02-07 11:15:00,1075.9000,1078.1450,1075.3700,1077.6275,41633
2018-02-07 11:00:00,1070.0100,1076.1900,1069.6950,1075.3100,32926
2018-02-07 10:45:00,1071.0300,1073.3180,1069.6100,1070.1650,38501
2018-02-07 10:30:00,1077.4300,1079.3400,1070.4000,1071.3800,48403
2018-02-07 10:15:00,1073.9300,1080.2300,1073.0000,1078.9800,46843
2018-02-07 10:00:00,1073.3100,1076.2499,1067.1900,1073.1700,102266
2018-02-07 09:45:00,1084.6300,1086.5300,1072.2901,1073.2500,117566
2018-02-07 09:30:00,1084.9700,1086.2500,1084.9700,1086.2500,42575
2018-02-06 16:00:00,1081.7000,1085.4750,1076.0400,1084.4300,335914
2018-02-06 15:45:00,1080.5250,1085.9100,1075.9100,1081.7250,69468
2018-02-06 15:30:00,1076.3550,1080.7800,1073.0200,1080.7800,59497
2018-02-06 15:15:00,1072.2700,1082.1000,1071.0800,1076.5700,77404
2018-02-06 15:00:00,1061.9400,1072.3200,1061.3700,1071.8400,63325
2018-02-06 14:45:00,1053.1200,1062.6116,1052.7700,1061.0000,36910
2018-02-06 14:30:00,1055.7900,1056.0000,1049.2000,1053.8200,42684
2018-02-06 14:15:00,1052.5724,1058.4000,1051.1200,1056.7200,46031
2018-02-06 14:00:00,1061.2650,1062.9300,1051.6700,1052.4000,30348
2018-02-06 13:45:00,1067.0201,1067.6300,1060.1000,1061.5700,34954
2018-02-06 13:30:00,1061.9600,1069.1350,1061.3950,1068.8675,28742
2018-02-06 13:15:00,1063.2800,1063.5000,1056.1000,1062.0900,55278
2018-02-06 13:00:00,1063.9600,1064.0600,1060.2700,1063.7000,56305
2018-02-06 12:45:00,1059.8500,1066.4575,1057.6200,1064.0284,58261
2018-02-06 12:30:00,1059.3600,1062.1700,1052.9500,1060.0200,50472
2018-02-06 12:15:00,1057.9600,1061.4340,1054.5900,1058.2751,59361
2018-02-06 12:00:00,1051.4350,1059.9900,1050.7700,1056.8600,52287
2018-02-06 11:45:00,1054.7200,1056.7500,1046.2600,1051.4400,44873
2018-02-06 11:30:00,1055.0600,1059.6900,1052.3000,1055.1300,47015
2018-02-06 11:15:00,1056.4600,1062.4500,1053.7800,1055.3700,49102
2018-02-06 11:00:00,1051.1700,1063.8200,1051.1700,1057.4300,88760
2018-02-06 10:45:00,1057.0700,1058.9800,1042.5100,1051.1050,97461
2018-02-06 10:30:00,1065.5300,1067.4000,1050.0100,1058.3500,104493
2018-02-06 10:15:00,1076.8399,1087.3750,1063.8600,1065.0000,139238
2018-02-06 10:00:00,1063.6850,1084.2800,1063.6850,1076.0000,153921
2018-02-06 09:45:00,1034.4200,1069.8500,1030.0100,1063.3900,269782
2018-02-06 09:30:00,1033.9800,1035.0400,1032.2500,1033.0000,89516
